Author (year),Country/countries,Setting,Population,Compared strategies,Included treatment,Type of economic evaluation,Model type,Perspective,Clinical outcomes,Time horizon,Discount rate,Inclusion of stochasticity,Inclusion of AMR,ICER,Currency (year),Reporting of uncertainty,Main findings,Cost-effectiveness verdict,CHEERS score,groupname,row
de Bock (2001),The Netherlands,Primary care,Patients presenting with Acute sinusitis in primary care,Wait and see; selective prescription; empirical antibiotics; ultrasound assessment; radiographic assessment,Doxycycline,CEA,Decision tree,Healthcare centre's perspective,Probability of cure,7 days,"NA",No,No,Clinical assessment: DFL 515.59; Ultrasound assessment: DFL 5745.38; Radiographic assessment: DFL 3164.98; Antibiotics: DFL 881.67 costs or savings /patient,Dutch Florins (year NA),"Deterministic sensitivity analysis (DSA), Sensitivity analysis graph (with one parameter varied), Two-way sensitivity analysis graph",The costs for curing one additional patient were DFL516 when antibiotics were selectively prescribed and DFL882 when antibiotics were prescribed immediately,Cost-effective,14,decision tree model,11
Dinh (2018),France,Emergency department,Patients who consulted for community-acquired pneumonia in emergency departments,Pneumococcal urinary antigen test; usual care,"Antimicrobial treatment (penicillin A if Streptococcus pneumoniae), broad-spectrum antibiotics without microbiological identification",CEA,Retrospective real life pragmatic study,Healthcare centre’s perspective,Antibiotic prescriptions saved,"NA","NA",No,Yes,"As only 7 PUA tests led to appropriate antimicrobial modification, we deemed that the potential cost savings, if the test had not been used, would have been 26,244 € during 3 years, that is 8748 € per year.","NA",Deterministic sensitivity analysis (DSA),The test should be used only for patients with probable CAP,Cost-saving,13,trial-based analysis,12
Dugas (2013),USA,Emergency department,Patients presenting  with symptoms of an acute respiratory infection at risk or potentially having influenza-related complications.,Treat none; treat based on provider judgement; treat based on a PCR-based rapid test; treat all,"Antiviral treatment: oseltamivir, zanamivir; antibiotics: amoxicillin/expensive antibiotics",CUA,Decision tree,Societal perspective,Synthesis-based estimates,Lifetime horizon,economic: 0%; health: 3%,Yes,No,PCR: $1389/QALY; treat all: $6246/QALY; treat none: dominated (all compared to provider judgement),US dollars (2011),"Tornado diagram of DSA, CEAC","Assuming a $50,000 per quality-adjusted life-year willingness-to-pay threshold, the most cost-effective treatment option is treatment according to provider judgment from 0% to 3% prevalence, treatment according to a PCR-based rapid influenza test from 3% to 7% prevalence, and treating all at greater than 7% prevalence.",Cost-effective,18,decision tree model,13
Durski (2013),Uganda,Hospital,HIV-infected adults with suspected central nervous system infections,Comprehensive testing; stepwise testing; minimalist testing,2g ceftriaxone intramuscularly once for meningococcal meningitis; five days of ceftriaxone for pneumococcal meningitis.,CEA,Decision tree,Healthcare centre's perspective,percentage of correct diagnosis,"NA","NA",No,No,133 per additional correct diagnosis,"US dollars,  South African Rand (2013)",Deterministic sensitivity analysis (DSA),"Through strategically choosing the order and type of testing coupled with disease prevalence rates, algorithms can deliver more care more efficiently.",Cost-effective,16,decision tree model,14
Giraldez-Garcia (2011),Spain,Primary care,Patients between the ages of 2 and 14 years who consult with a primary care physician due to AP symptoms.,Treat all; clinical scoring; rapid testing; culture; rapid test + culture; clinical scoring + rapid test.,Penicillin; azithromycin (in case of allergy),CEA,Decision tree,Healthcare payer's perspective,Proportion of patients cured without complications from the disease or from any adverse reaction to treatment with penicillin,1 year,"NA",No,No,Only rapid test: 51.22; clinical scoring + rapid test: 50.72 (Costs per patient cured without complications and no adverse reaction to penicillin),NA,"Sensitivity analysis graph (with one parameter varied), Two-way sensitivity analysis graph",The “clinical scoring + rapid test” strategy was the most cost-effective of the six strategies analysed,Cost-effective,15,decision tree model,15
Gonzalez-Canudas (2011),Mexico,Primary care,Patients admitted  with suspected ILI,PCR; diagnosis with influenza RDT + clinical data,Oseltamivir,"CEA, BIA",Decision tree,Healthcare centre's perspective,Synthesis-based estimates,"NA","NA",Yes,No,$12.60 saved each suspected case,US dollars (2009),Fagan nomogram,The use of PR as an aid in the diagnosis of H1N1 influenza increases certainty and reduces the average cost per suspect and infected patient.,Cost-saving,11,decision tree model,16
Harris (2011),South Africa,Primary care,Ambulatory HIV-infected patients in South Africa,"33 diagnostic options, involving combinations of specimen collection methods (oral washes induced and expectorated sputum and bronchoalveolar lavage); PCR or clinical diagnosis with chest x-ray alone","Treatment costs are based on a single, 21-day regimen with oral CTX",CEA,Analysis for decision-making,Healthcare payer’s perspective,"Life years, Proportion of ill patients successfully treated",1 year,"NA",No,No,"At 50% disease prevalence, diagnostic procedures involving expectorated sputum with any PCR method, or induced sputum with nested or real-time PCR, were all highly cost-effective, successfully treating 77–90% of patients at $26–51 per life-year gained.","NA",Deterministic sensitivity analysis (DSA),"Three metrics are relevant: proportion of PCP patients successfully treated, proportion of well persons unnecessarily treated, and the total diagnostic and treatment cost per life-year gained.",Cost-effective,15,not specified,17
Herráez (2017),Spain,Hospital,Patients with suspected TB,Routine TB diagnosis; XPERT,Routine (sensitive) TB treatment,CEA,Decision tree,Healthcare centre's perspective,Synthesis-based estimates,"NA","NA",Yes,No,€2960/QALY,Euros (2016),"Table of DSA, Tornado diagram of DSA, Probabilistic sensitivity analysis (PSA), CEAC","The implementation of a molecular microbiological technique in the diagnosis of tuberculosisis extremely cost-effective compared to the usual method. Its introduction into the routine diagnostic procedure could lead to an improvement in quality care for patients, given that it would avoid both unnecessary hospitalisations and treatments, and reflected in economic savings to the hospital.",Cost-effective,13,decision tree model,18
Holmes (2018),"Wales, UK",Primary care,Adults with symptoms of acute respiratory tract infection (ARTI) for >12 h where the antibiotic decision is unclear,Current standard of care; antibiotic prescribing conditional on POC CRP testing.,Amoxicillin 500 mg three times daily for 7 days.,CEA,Decision tree,Healthcare payer's perspective,QALYs,28 days,"NA",Yes,Yes,"In patients with symptoms of ARTI and based on routine practice, the ICERs of CRP testing were £19,705 per quality-adjusted-life-year (QALY) gained and £16.07 per antibiotic prescription avoided",Pound Sterling (2016),"Deterministic sensitivity analysis (DSA), Table of DSA, Probabilistic sensitivity analysis (PSA), Cost-effectiveness plane of PSA, Cost-effectiveness acceptability curve(s)",The model suggests that as implemented in routine primary care (for all adults with symptoms of ARTI for >12 hours where the antibiotic decision unclear) POC CRP testing is borderline cost-effective.,Cost-effective,17,decision tree model,19
Hunter (2015),England,Primary care,Cohorts of 100 hypothetical patients with RTI,Current GP practice; Three strategies of CRP testing: 1) GP plus CRP; 2) Practice nurse plus CRP; 3) GP plus CRP and communicating training,"Antibiotics at index consultation, antibiotics within 28 days of index, atibotics for subsequent incidents of RTIs after 28 days",CEA,"Decision tree, Markov (compartimental) model",Healthcare payer's perspective,"QALYs, number of antibiotics prescribed and the number of RTIs over 3 years",3 years,economic: 3.5% for costs and benefits (QALYs multiplied by the willingness to pay; health: NA,No,No,The two strategies result in 0.13 additional QALYs per 100 patients and costs 42 pounds less per 100 patients  for the GP plus CRP strategy and 680 pounds less for the nurse plus CRP strategy,Pound Sterling (2012),"Deterministic sensitivity analysis (DSA), Probabilistic sensitivity analysis (PSA), Cost-effectiveness plane of PSA, Cost-effectiveness acceptability curve(s)","Over a 3-year time horizon, GP plus CRP test and nurse plus CRP test have a higher net monetary benefits than current practice. The additional costs of the test is outwighted by cost savings and QALY increment associated with a reduction in infections in the long run.",Cost-effective,18,markov model,20
Jha (2016),South Africa,Laboratory,Patients with (clinically) suspected TB,"Sputum smear microscopy alone; TBDx automated microscopy alone; TBDx automated microscopy,with confirmation of low positive results by Xpert MTB/RIF; TBDx automated microscopy, with confirmation of all positive results by Xpert MTB/RIF; Xpert MTB/RIF performed on all specimens",Non-specified TB therapy (both drug-susceptible and drug-resistant),CEA,Non-specified model,Healthcare payer's perspective,Single-study based estimates,"NA",economic: 3% was used to annualized costs of equipment (no discount rate for outcomes); health: NA,Yes,Yes,"Main outcome reported: $1280 per incremental TB diagnosis, TBDx automated microscopy",US dollars (2015),"Table of DSA, Tornado diagram of DSA, Uncertainty ranges (95%) around results","In settings where universal XpertMTB/RIF is affordable, and health systems are willing to pay at least $1927 per incremental TB diagnosis made, universal Xpert is generally preferred.",Cost-effective,14,not specified,21
Langley (2014),Tanzania,Diagnostic centre,Patients with presumptive TB - different algorithms for patients with and without HIV.,Ziehl-Neelsen (ZN) microscopy; LED fluorescence microscopy; same-day LED fluorescence microscopy; full Xpert rollout; Xpert for known HIV-+ cases; Xpert for HIV-+ cases with additional HIV screening; Xpert for smear-negative and known HIV-+ cases; Xpert for smear-negative and HIV-+ cases with additional HIV testing,Standard regimen; retreatment regimen; resistant TB regimen,CEA,"Discrete-event simulation, Compartmental differential equation model",Healthcare payer's perspective,Synthesis-based estimates,10 years,3%,Yes,Yes,LED microscopy: $29/DALY; same-day LED microscopy: $45/DALY; full Xpert: $169/DALY; others dominated,US dollars (2011),"Table of DSA, Tornado diagram of DSA, Probabilistic sensitivity analysis (PSA), CEAC, 95% credible intervals","We have assessed the effect of several promising tuberculosis diagnostic options that are being considered by many national tuberculosis programmes, and have identified three cost-effective strategies in the context of Tanzania: full rollout of Xpert MTB/RIF (B1), followed by same-day LED fluorescence microscopy (A3) and LED fluorescence microscopy(A2).",Cost-effective,17,descrete-event model,22
Lathia (2018),Canada,Pharmacy,Patients with sore throat,Current standard of care; strep throat POC testing,Antibiotics,CMA,Decision tree,Healthcare payer's perspective,"NA","NA","NA",No,No,-18.66 (province AB); -14.86 (province BC); -12.78 (province NS); -12.47 (province ON); -24.36 (province SK) costs or savings /patient,NA,Deterministic sensitivity analysis (DSA),"This analysis estimates that in a scenario where 60% of patients with severe sore throat seek care in a community pharmacy, compared to a scenario where all patients seek care through a family physician, walk-in clinic or emergency room, the healthcare systems in the five provinces saves a mean of $12.47 to $24.36 per patient.",Cost-saving,12,decision tree model,23
Lavelle (2012),USA,Primary care,Unvaccinated children coming to a physician's office with age-appropriate symptoms of uncomplicated ILI,"No antiviral treatment; rapid testing for influenza, followed by oseltamivir if results are positive; empiric oseltamivir treatment",Oseltamivir,CEA,Decision tree,Societal perspective,Synthesis-based estimates,1 year,"NA",Yes,Yes,"$25,900 to $71,200/QALY, depending on age, compared with the no oseltamivir treatment strategy",US dollars (2008),"Table of DSA, Sensitivity analysis graph (with one parameter varied), CEAC","This analysis demonstrates that when seasonal influenza viruses are circulating in the community and antiviral treatment is clinically indicated, empiric oseltamivir treatment of children who are suspected to have influenza illness may be a cost-effective treatment strategy.",Cost-effective,17,decision tree model,24
Lee (2019),India,"Primary care, Hospital","Adult, HIV-negative patients with presumptive/pulmonary TB",Sputum smear microscopy; Xpert; Truenat; Truenat POC,NA,CEA,Microsimulation model,Health system perspective,Synthesis-based estimates,Lifetime horizon,3%,Yes,Yes,"Truenat POC: 210 /LYG, which dominated all other strategies",US dollars (2017),"Deterministic sensitivity analysis (DSA), Two-way sensitivity analysis graph","Truenat, when replacing smear microscopy and used at point-of-care, increases the number of TB cases correctly detected and linked to care by 590 per 10,000 individuals with presumptive TB. It also increases life expectancy by nearly 0.4 years and is cost-effective",Cost-effective,17,individual-level model,25
Maizia (2011),France,Primary care,Adults (16 years and older) and children (up to 15 years old).,Observation only (reference strategy); clinical scoring; RDT testing; throat culture; clinical scoring combined with RDT testing; RDT testing combined with throat culture; systematic antibiotic therapy.,Amoxicillin penicillin A (6 days) and in case of allergy cefuroxime-axetil (4 days).,CEA,Decision tree,Healthcare payer's perspective,Suppurative complication avoided,"NA","NA",No,No,970 in children and at 903in adults cost per suppurative complication avoided,Euros (2008),"Deterministic sensitivity analysis (DSA), Tornado diagram of DSA","The use of RDT was the most cost-effective strategy from the insurance perspective private US, while the use of culture appeared to be more efficient from the perspective of the system public Medicaid. In acute tonsillitis, in both adults and children, RDT testing by practitioners is the more efficient strategy to identify and treat patients with GAS tonsillitis. Combining RDT testing with throat culture can provide additional effectiveness, but at the cost of a significant extra charge for the community.",Cost-effective,13,decision tree model,26
Mears (2016),England,"Multiple interacting components (laboratory, public health and clinical services)","Population of England, taking into consideration the age distribution of the population and medium TB incidence",National TB strain typing service,"Latent infection treatment (rifampicin, isoniazid, pyridoxine); management of active disease (rifater, ethambutol, rifanah, pyridoxine)",CEA,Dynamic deterministic compartmental models,Public sector perspective,Synthesis-based estimates,20 years,3.5000000000000003E-2,No,No,"₤95,628/QALY (LTBI detecting increase from 3% to 4%); ₤54,539/QALY (LTBI detecting increase from 3% to 13%); cost-saving if diagnostic delay was reduced with 1 week",Pound sterling (unknown year),"Table of DSA, Sensitivity analysis graph (with one parameter varied)","This analysis failed to demonstrate that the TB-STS is a cost-effective use of NHS resources. It suggests that it is unlikely that earlier identification of false positive cases related to laboratory contamination, or increases in the identification and prophylactic treatment of contacts with a latent infection could, on their own, justify the cost of the system.",Not cost-effective,17,dynamic model,27
Menzies (2012),"Botswana, Lesotho, Namibia, South Africa, and Swaziland",Health facility,General population (with dynamic model). For TB diagnosis patients presenting to a health facility with suspected TB,Current diagnostic algorithms; implementing Xpert in accordance with current WHO recommendations,Non-specified TB therapy,CEA,Dynamic compartmental model,Healthcare payer's perspective,Synthesis-based estimates,20 years,3%,Yes,Yes,$784/DALY; $810/life-year saved,US dollars (2011),"Table of DSA, Tornado diagram of DSA, Three-way sensitivity analysis graph, CEAC, uncertainty interval (2.5 and 97.5 percentiles)","Along with the projected health benefits of scaling up Xpert will come significantly increased demands on healthcare resources. The large increase in funding required under the Xpert scenario raises the question of affordability. Although our cost-effectiveness results suggest that the introduction of Xpert represents good value for money according to typical international benchmarks, it does not automatically follow that TB program budgets will be able toabsorb these changes.",-,16,dynamic model,28
Mewes (2019),USA,"Hospital, ICU",Patients with suspected sepsis on the ICU and patients hospitalized with LRTI.,Standard care; PCT-guided care,NA,CEA,Decision tree,"Societal perspective, Healthcare centre's perspective",Synthesis-based estimates,The length of the hospital stay,"NA",Yes,Yes,The incremental savings per antibiotic day avoided were -$584 for the PCT group,US dollars (2017),"Deterministic sensitivity analysis (DSA), Tornado diagram of DSA",Using a Procalcitonin-algorithm to guide antibiotic use in sepsis and hospitalised lower respiratory tract infection patients is expected to generate cost-savings to the hospital and lower rates of antibiotic resistance and C.difficile infections.,Cost-effective,16,decision tree model,29
Michaelidis (2013),USA,Primary care,Two hypothetical cohorts were modeled in separate trial-based analyses: adults with ARTIs judged by their physicians to require antibiotics and all adults with ARTIs.,Procalcitonin-guided antibiotic therapy; usual care.,Empiric antibiotic prescription,CEA,Decision tree,Health care system perspective,"QALYs, Antibiotic prescriptions saved",ARTI treatment episode as the time horizon,"NA",Yes,Yes,149 / antibiotic prescription saved,US dollars (2012),"Probabilistic sensitivity analysis (PSA), Cost-effectiveness acceptability curve(s)","Procalcitonin testing is unlikely to be preferred over usual care when costs alone are considered, but is likely to be cost-effective when the costs of antibiotic resistance are considered and the test is used only in adults with ARTIs judged to require antibiotics by their physicians.",Cost-effective,16,decision tree model,30
Naidoo (2016),South Africa,Laboratory,Patients with presumptive TB,A smear/culture-based algorithm; an Xpert-based algorithm,Not specified,"Cost Analysis, CEA",Unspecified costing tool,Laboratory perspective,Single-study based estimates,"NA",economic: 3% for equipment; health: NA,No,Yes,$6274 per additional MDR-TB case diagnosed,US dollars (2013),-,"The introduction of the Xpert-based algorithm has resulted in substantial increases in cost which are in line with modelling exercises undertaken in South Africa. However these were not matched by an increase in TB diagnostic efficacy; massive cost increases persist even when temporal trends of a possible declining TB prevalence were taken into consideration. One of the benefits of the Xpert-based algorithm was the modest increase in the number of MDR-TB cases diagnosed, which comes at high cost.",-,16,not specified,31
Nelson (2015),USA,Emergency department,Children presenting with ILI,Rapid multiplex PCR; traditional PCR; direct-fluorescentantibody staining; 4: rapid antigen tests.,Antibiotics; antivirals (not further specified),CEA,Decision tree (not explicitly stated),Healthcare centre's perspective,Single-study based estimates,Lifetime horizon,Economic: NA; health: 3%,Yes,No,"PCR: $115,556/QALY in children aged 3-36 months, and $228,000/QALY in children aged 3-18 yrs (other alternatives were dominated)",US dollars (2011),"Sensitivity analysis graph (with one parameter varied), CEAC","A rapid multiplex PCR strategy was not only the most effective strategy in terms of maximizing patient QALYs, but was also the most expensive.",Cost-effective,15,decision tree model,32
Neuner (2003),USA,Primary care,Adults in the general U.S. population.,Observation without testing or treatment; empirical treatment with penicillin; throat culture using a two-plate selective culture technique; optical immunoassay (OIA) followed by culture to confirm negative OIAtest results; OIA alone.,Penicillin at a dosage of 250 mg four times a day for 10 days.,CEA,Decision tree,Societal perspective,QALYs,1 year,"NA",Yes,No,Culture strategy: 0.2668 quality-adjusted life-day lost and an average cost of $6.66 per patient,US dollars (2000),"Deterministic sensitivity analysis (DSA), Probabilistic sensitivity analysis (PSA)","Although the other four strategies had similar effectiveness (all resulted in about 0.27 lost quality-adjusted life-day), culture was the least expensive strategy.",Cost-effective,15,decision tree model,33
Nicholson (2014),UK,Hospital,"People presenting to medical admissions units, or any ward accepting acute medical admissions, with an acute exacerbation of chronic cardiopulmonary illness of ≤ 168 hours’ (7 days’) duration or an acute cardiopulmonary illness of ≤ 7 days’ duration",Point-of-care tests (POCTs) for influenza A and B and pneumococcal infection; reverse transcriptase-polymerase chain reaction (RT-PCR) tests for influenza A and B and RSV A and B; and conventional culture for these pathogens.,"Broad-spectrum antibiotics (cephalosporins, co-amoxiclav, piperacillin with tazobactam, carbapenems, quinolones, tetracyclines, cotrimoxazole, clarithromycin, azithromycin and clindamycin); narrow-spectrum antibiotics (Gram-positive antibiotics benzylpenicillin, flucloxacillin, amoxicillin (and ampicillin), erythromycin, vancomycin, rifampicin, fusidic acid, linezolid, daptomycin, gram-negative antibiotics, gentamicin and other aminoglycosides, aztreonam, trimethoprim, nitrofurantoin, anaerobic antibiotics and metronidazole).",CEA,Randomised controlled trial (RCT),Healthcare centre's perspective,"QALYs, EQ-5D; proportion of patients who are prescribed antibiotics; time to treatment",28 days,"NA",No,No,734717 per QALY,Pound Sterling (2007),"Deterministic sensitivity analysis (DSA), Table of DSA, Probabilistic sensitivity analysis (PSA), Cost-effectiveness plane of PSA, Cost-effectiveness acceptability curve(s)","The total costs and QALYs of each diagnostic strategy were similar, although, incrementally, PCR was the most cost-effective strategy. The analysis does not support routine use of point-of-care tests for either influenza or pneumococcal antigen for adults presenting with acute cardiopulmonary conditions, but suggests that conventional viral culture for clinical diagnosis should be replaced by PCR.",Cost-effective,16,trial-based analysis,34
Nshimyumukiza (2016),Canada,Outpatient clinic or emergency department,Quebec (Canada) population,Current care; potential rapid POC test,Oseltamivir,CEA,"Dynamic deterministic compartmental models, Agent-level Markov model (SPLMM)",Societal perspective,Synthesis-based estimates,1 year,"NA",Yes,No,"$7573 saved /100,000 person years and 1.92 life-years saved /100,000 person years",Canadian dollars (2011-2012),"Tornado diagram of DSA, CEAC","Considering the baseline values of sensitivity, specificity, and cost to be 74%, 99%, and $25, respectively, for a POC test; the antiviral treatment based on this test appears dominant as compared to empirical antiviral treatment based on clinical judgment.",Cost-effective,16,individual-level model,35
